id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,noise,defrost,lighting,nb_drawers,nb_shelves,accessories,star_rating,nb_of_drawers,gross_capacity,energy_consumption,features
82,FAB28AVL1,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28avl1,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
83,FAB28AVR1,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28avr1,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
84,FAB28AWL1,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28awl1,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
85,FAB28AWR1,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28awr1,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
86,FAB28AZL1,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28azl1,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
87,FAB28AZR1,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28azr1,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
88,FAB28B,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28b,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
89,FAB28BKL1,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28bkl1,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
90,FAB28BKR1,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28bkr1,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
91,FAB28BS,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28bs,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
